STATIONS_ID,MESS_DATUM_BEGINN,MESS_DATUM_ENDE,QN_4,MO_TT,MO_TX,MO_TN,date_start,date_end,geo_lon,geo_lat,height,name,state
131,20120301,20120331,10,6.72,11.21,2.78,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20120401,20120430,10,8.66,13.46,4.11,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20120501,20120531,10,14.59,20.53,8.42,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20120601,20120630,10,15.68,20.88,10.79,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20120701,20120731,10,17.76,23.01,13.08,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20120801,20120831,3,18.72,24.48,13.47,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20120901,20120930,3,14.13,19.78,8.93,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20121001,20121031,3,8.49,12.9,4.49,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20121101,20121130,3,5.25,8.23,2.45,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20121201,20121231,3,0.99,3.51,-1.7,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20130101,20130131,3,-0.91,0.91,-3.09,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20130201,20130228,3,-1.34,0.71,-3.29,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20130301,20130331,3,-1.63,1.78,-4.94,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20130401,20130430,3,8.31,12.8,4.51,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20130501,20130531,3,12.12,16.53,8.12,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
